Artist Name,Song Name,Days,Top 10,Peak Position,Peak Position2,Peak Streams,Total Streams
Travis Scott ,BUTTERFLY EFFECT,682,18,9,0,1568959,276763296
Brenda Lee ,Rockin' Around The Christmas Tree,340,113,1,(x30),5771662,276529912
Drake ,Knife Talk,471,91,2,(x3),3908883,275693546
Pop Smoke ,For The Night,512,116,2,(x2),1450903,274720487
Drake ,Fake Love,525,121,1,(x15),1527349,274318587
Internet Money ,Lemonade,517,138,1,(x11),1437460,273391855
Tyga ,Taste,486,54,3,(x1),1484893,272293130
Future ,Mask Off,441,107,2,(x29),1768762,271944410
Olivia Rodrigo ,traitor,522,56,3,(x15),2709147,271379624
DaBaby ,Suge,516,51,3,(x4),1224726,270915921
SZA ,Good Days,604,83,1,(x3),1387122,270125295
Doja Cat ,Need To Know,460,72,3,(x3),1245936,268475081
Drake ,Money In The Grave (Drake ft. Rick Ross),467,79,1,(x6),2024475,265919957
Mustard ,Ballin',656,4,10,0,986414,265117682
Bryson Tiller ,Don't,1008,37,7,0,649135,264444220
Harry Styles ,Adore You,633,18,1,(x1),1809594,264055553
Imagine Dragons ,Believer,745,5,9,0,898836,263375966
Lauv ,I Like Me Better,930,0,30,0,571396,263177728
Migos ,Bad and Boujee,491,98,1,(x32),1816754,262086852
KYLE ,iSpy,512,106,2,(x8),1336415,262041081
Luis Fonsi ,Despacito  Remix,344,125,1,(x47),2129981,260702344
Kodak Black ,ZEZE,402,103,1,(x16),2823276,260612786
Lil Uzi Vert ,The Way Life Goes,834,21,4,0,1232419,260565170
Khalid ,Better,519,14,7,0,1413872,259760668
Sam Hunt ,Body Like A Back Road,703,0,12,0,790758,259538408
A Boogie Wit da Hoodie ,Swervin,564,37,6,0,1154453,258648283
Imagine Dragons ,Thunder,724,0,16,0,723572,257758821
Tones And I ,Dance Monkey,539,23,6,0,1022885,256274759
The Chainsmokers ,Don't Let Me Down,568,141,4,0,981448,251672744
Polo G ,Pop Out,647,25,8,0,1046233,251658876
Chris Brown ,No Guidance,550,53,3,(x1),1259463,250362082
Drake ,Passionfruit,622,51,1,(x13),2811262,249576463
Steve Lacy ,Dark Red,513,0,11,0,649193,249198471
Juice WRLD ,Armed And Dangerous,756,10,9,0,1170042,248991383
Camila Cabello ,Havana,484,99,2,(x6),1184798,247086289
Morgan Wallen ,Wasted On You,687,10,1,(x1),1232815,246675467
Drake ,Laugh Now Cry Later,449,89,2,(x20),2600470,246389835
Bruno Mars ,That's What I Like,517,78,3,(x3),1236698,245642565
Kendrick Lamar ,DNA.,451,69,2,(x15),3633524,242841173
The Weeknd ,Save Your Tears,692,49,2,(x4),1465508,242055670
Polo G ,Martin & Gina,702,0,21,0,553876,241128929
The Weeknd ,Die For You,682,1,10,0,820834,240869086
Eminem ,Godzilla,665,28,2,(x5),2573682,240271807
Big Sean ,Bounce Back,531,79,3,(x7),1388544,239157563
Steve Lacy ,Bad Habit,183,136,1,(x66),1691327,239087671
Jack Harlow ,WHATS POPPIN,519,89,2,(x12),1248272,238356467
XXXTENTACION ,Everybody Dies In Their Nightmares,772,3,6,0,2023396,238214306
Desiigner ,Panda,518,109,1,(x6),1652864,237739871
Shawn Mendes ,Señorita,400,77,1,(x26),1948638,236868842
Fleetwood Mac ,Dreams  2004 Remaster,781,17,6,0,1032229,236167945
Cardi B ,Bodak Yellow,489,79,2,(x6),1383846,235788390
Bobby Helms ,Jingle Bell Rock,335,98,1,(x1),4516839,235335220
Drake ,Jumpman,584,134,2,(x2),929883,235129660
Trevor Daniel ,Falling,455,76,4,0,1101319,234818302
Bad Bunny ,DÁKITI,596,42,1,(x6),1499819,234636216
Rihanna ,Needed Me,494,154,2,(x3),1018495,233794067
5 Seconds of Summer ,Youngblood,608,0,12,0,944436,233302902
The Killers ,Mr. Brightside,877,0,35,0,407790,232977345
Baby Keem ,family ties,487,29,3,(x1),1422177,232461442
Doja Cat ,Woman,489,26,7,0,864796,232370353
Arctic Monkeys ,505,692,0,13,0,510329,231800625
Lil Nas X ,Old Town Road  Remix,317,95,1,(x30),3113535,229868299
DJ Khaled ,I'm the One,332,112,2,(x29),2427536,227464533
Drake ,Hotline Bling,555,150,1,(x28),1506243,226915487
A Boogie Wit da Hoodie ,Drowning,591,0,18,0,674840,225834058
XXXTENTACION ,changes,560,7,4,0,2449891,225063813
Machine Gun Kelly ,my ex's best friend,596,3,9,0,891324,223702831
Bazzi ,Mine,510,51,3,(x4),1336329,223577524
Zedd ,The Middle,561,45,5,0,1159767,223370198
Justin Bieber ,Sorry,466,131,1,(x53),1783498,222779216
Conan Gray ,Heather,647,13,8,0,888848,222474626
Post Malone ,Goodbyes (Feat. Young Thug),329,91,1,(x7),2323437,220243023
XXXTENTACION ,Look At Me!,668,0,20,0,1035184,218130170
Bad Bunny ,Me Porto Bonito,237,154,2,(x27),1947674,217545422
J. Cole ,Wet Dreamz,1130,0,12,0,397175,217277232
Andy Williams ,It's the Most Wonderful Time of the Year,342,72,3,(x2),3837208,214480695
Jack Harlow ,WHATS POPPIN,444,77,6,0,1030175,212620780
Lewis Capaldi ,Before You Go,672,0,39,0,558202,211623667
Juice WRLD ,Lean Wit Me,671,1,8,0,992697,209772076
Tame Impala ,The Less I Know The Better,893,0,103,0,323134,209554986
G-Eazy,"Eazy  Me, Myself & I",513,148,2,(x12),997340,208480098
Bad Bunny ,Tití Me Preguntó,237,151,3,(x11),1885979,207857104
Twenty One Pilots ,Ride,708,65,4,0,824424,207848346
Kendrick Lamar ,All The Stars,404,78,2,(x10),1794893,207519025
Twenty One Pilots ,Stressed Out,706,90,3,(x2),835612,207439306
Billie Eilish ,Happier Than Ever,459,30,3,(x12),1688659,207031225
Aminé ,Caroline,537,77,6,0,861158,206635412
6ix9ine ,FEFE,271,66,2,(x20),2188635,206222122
Drake ,Too Good,359,150,2,(x19),1092508,205088227
"Tyler, The Creator ",EARFQUAKE,526,34,1,(x7),2210014,204484344
Khalid ,Love Lies,445,14,8,0,1088271,204075140
Justin Bieber ,Peaches,312,58,1,(x10),2181089,203494777
Kendrick Lamar ,Money Trees,726,0,38,0,481011,203375167
Young Thug ,The London,401,49,1,(x3),2397579,203093189
Future ,Low Life,604,0,11,0,670545,202769617
Panic! At The Disco ,High Hopes,535,0,12,0,862030,201888489
SAINt JHN ,Roses  Imanbek Remix,431,47,5,0,1009144,201135462
Powfu ,death bed,478,7,9,0,797933,200371352
Rae Sremmurd ,Black Beatles,384,82,1,(x21),2318636,200178133
Rihanna ,Work,408,91,1,(x62),1843176,199973584
Billie Eilish ,everything i wanted,435,42,1,(x4),2128318,199922212
Jonas Brothers ,Sucker,414,30,1,(x11),3105964,199695180
Rich The Kid ,Plug Walk,417,29,6,0,1341514,198858962
Justin Bieber ,Love Yourself,458,138,1,(x24),1333001,198773307
Migos ,Slippery,477,0,17,0,701264,197966789
21 Savage ,a lot,412,24,2,(x1),1525801,197950103
Flipp Dinero ,Leave Me Alone,418,12,10,0,997477,197450612
Dan + Shay ,Tequila,723,0,48,0,483056,196958667
Bryson Tiller ,Exchange,837,0,22,0,452260,196861471
Twenty One Pilots ,Heathens,410,100,3,(x34),1168637,195918435
Doja Cat ,Streets,477,57,3,(x12),1024708,195884808
Wham! ,Last Christmas,315,56,4,0,3525042,195381527
Jack Harlow ,First Class,231,77,1,(x11),5962326,195314542
Fetty Wap ,Trap Queen,622,159,1,(x31),844118,194792972
The Weeknd ,Can't Feel My Face,543,142,1,(x52),1053578,194406860
Bruno Mars ,Leave The Door Open,400,52,2,(x3),1765144,193296752
Kodak Black ,Roll In Peace,518,0,21,0,985417,192647458
The Neighbourhood ,Daddy Issues,705,0,50,0,359758,192551331
Morgan Wallen ,More Than My Hometown,697,0,18,0,698510,191448082
Gucci Mane ,Wake Up in the Sky,340,14,6,0,1070430,189926403
Marshmello ,Silence,468,16,7,0,958742,189144242
Michael Bublé ,It's Beginning to Look a Lot Like Christmas,357,38,3,(x1),2978474,187463596
Maroon 5 ,Girls Like You,383,20,6,0,1263800,186579571
Justin Bieber ,What Do You Mean?,413,153,1,(x24),1358577,185795808
The Weeknd ,Call Out My Name,471,21,1,(x6),3490888,185191010
BØRNS ,Electric Love,737,0,39,0,460526,185017224
NF ,Let You Down,480,4,9,0,829153,184436690
Fifth Harmony ,Work from Home,420,116,3,(x21),1004803,184122003
Drake ,Controlla,400,93,4,0,1020036,183609837
Morgan Wallen ,Chasin' You,687,0,47,0,412670,183121183
Ariana Grande ,Santa Tell Me,348,26,5,0,2847060,182490361
Ed Sheeran ,Thinking out Loud,792,118,1,(x3),665278,182153495
Pop Smoke ,What You Know Bout Love,422,44,5,0,945575,182024316
Lil Mosey ,Noticed,531,0,17,0,836165,181647697
Mike Posner ,I Took A Pill In Ibiza  Seeb Remix,442,91,2,(x1),912432,181197216
Ed Sheeran ,Perfect,488,0,11,0,931316,180975541
Ariana Grande ,no tears left to cry,384,5,6,0,1783330,180563889
Chance the Rapper ,No Problem,568,0,13,0,695093,180053419
Mustard ,Pure Water,396,0,11,0,905428,180042907
Dan + Shay ,Speechless,662,0,67,0,373102,179301739
The Chainsmokers ,Roses,520,94,5,0,772979,178699372
Khalid ,Talk,341,42,5,0,1284719,178662883
G,Eazy  No Limit,373,79,2,(x8),1151926,178639729
21 Savage ,X,555,0,14,0,597896,178576237
Surf Curse ,Freaks,556,0,29,0,466842,178535641
Demi Lovato ,Sorry Not Sorry,379,35,6,0,1009557,177157747
Billie Eilish ,bury a friend,364,16,3,(x2),2139874,176834584
Kodak Black ,Tunnel Vision,396,38,5,0,1173162,176688536
Surfaces ,Sunday Best,412,0,13,0,751886,176430872
Sleepy Hallow ,2055,454,12,7,0,826350,176244822
Dan + Shay ,"10,000 Hours",465,21,2,(x3),2073482,175930281
Migos ,Stir Fry,336,60,2,(x12),1499177,175630677
A Boogie Wit da Hoodie ,Look Back At It,366,22,8,0,1146596,175483878
Justin Bieber ,Intentions,328,42,2,(x1),1901883,175135180
Post Malone ,Go Flex,673,0,19,0,687250,174710816
The Walters ,I Love You So,431,38,7,0,683985,174547021
Ed Sheeran ,Bad Habits,350,49,7,0,1259918,174488164
A$AP Ferg ,Plain Jane,408,22,6,0,929255,174255086
Famous Dex ,PICK IT UP,421,0,13,0,800864,173990426
Major Lazer ,Lean On,588,142,2,(x7),681007,173817845
Elton John ,Cold Heart  PNAU Remix,408,1,9,0,683288,173542648
Dua Lipa ,New Rules,399,0,11,0,783946,173328947
Ed Sheeran ,Shivers,399,6,6,0,980767,173225595
Mac Miller ,The Spins,612,0,54,0,369869,173209349
Adele ,Easy On Me,246,73,1,(x29),5435431,173180228
Ariana Grande ,positions,333,69,1,(x25),2805107,172797966
Tate McRae ,you broke me first,503,0,16,0,664700,172703722
Kodak Black ,Super Gremlin,346,117,2,(x9),1054999,171909115
Lil Nas X ,Panini,249,67,1,(x2),2147076,171512571
Drake ,Way 2 Sexy,280,68,1,(x12),4962771,170202629
Roddy Ricch ,High Fashion,354,27,4,0,1118927,169149991
Ed Sheeran ,I Don't Care,323,54,1,(x7),3107778,168839409
Billie Eilish ,ocean eyes,623,0,61,0,410592,168543006
"Tyler, The Creator ",See You Again,565,0,24,0,499844,168256802
Migos ,Walk It Talk It,358,14,3,(x1),1584838,168214275
Lady Gaga ,Shallow,403,7,6,0,1310071,167883840
Drake ,Jimmy Cooks,195,107,1,(x1),3642078,166499191
Doja Cat ,Say So,308,51,2,(x1),1262821,165898476
Fetty Wap ,679,501,111,2,(x14),850028,165220739
Kali Uchis ,telepatía,395,44,3,(x8),1064644,164803198
Calboy ,Envy Me,440,0,22,0,669228,164149940
Justin Bieber ,Ghost,399,4,9,0,895735,163964781
Adele ,Hello,404,89,1,(x19),2758752,163937424
Joji ,Glimpse of Us,201,83,1,(x16),2474076,163315058
Burl Ives ,A Holly Jolly Christmas  Single Version,278,31,5,0,4242454,163198351
Julia Michaels ,Issues,414,0,11,0,959567,163082925
Kate Bush ,Running Up That Hill (A Deal With God),182,98,1,(x30),2430143,163034803
Migos ,TShirt,393,23,6,0,1068559,162318539
Giveon ,HEARTBREAK ANNIVERSARY,371,30,8,0,950623,162181516
ZAYN ,I Don’t Wanna Live Forever (Fifty Shades Darker),378,72,3,(x14),1195770,161895465
Drake ,Toosie Slide,239,79,1,(x20),2670968,161667752
Kanye West ,Father Stretch My Hands Pt. 1,607,12,4,0,855048,161479699
Zedd ,Stay,317,4,9,0,977390,161032066
Major Lazer ,Cold Water,274,99,1,(x10),1389715,160700352
Lil Nas X ,THATS WHAT I WANT,358,23,2,(x1),1896424,160369392
Future ,WAIT FOR U,243,24,2,(x1),1885004,160359546
Lil Uzi Vert ,Sanguine Paradise,382,30,6,0,1205774,160244733
Maroon 5 ,Memories,372,17,6,0,1118361,159686092
Lil Pump ,Gucci Gang,242,90,2,(x51),1574100,159368635
Lil Uzi Vert ,Money Longer,648,0,33,0,440383,159142673
DJ Snake ,Let Me Love You,300,107,3,(x16),1147152,158366154
Hailee Steinfeld ,Starving,423,36,9,0,765280,158320524
JP Saxe ,If The World Was Ending,520,0,43,0,444524,156928093
The Chainsmokers ,Something Just Like This,364,29,2,(x2),1478265,156839599
Olivia Rodrigo ,favorite crime,384,32,4,0,1886343,156762362
Chris Stapleton ,Tennessee Whiskey,747,0,34,0,440951,156707370
Gucci Mane ,I Get The Bag,335,13,7,0,931108,156184444
Masked Wolf ,Astronaut In The Ocean,290,58,4,0,1028047,155387513
Khalid ,Saturday Nights,391,0,13,0,965483,154969059
H.E.R. ,Best Part,635,0,53,0,483402,154582091
Rob $tone ,Chill Bill,442,4,10,0,686873,154052440
YNW Melly ,223's,325,45,4,0,1161395,152984591
Hozier ,Take Me To Church,644,147,1,(x58),669026,152777306
Ed Sheeran ,Beautiful People,309,39,3,(x1),1615072,152409919
Ariana Grande ,"break up with your girlfriend, i'm bored",235,49,1,(x4),3498779,152246486
Playboi Carti ,Magnolia,365,1,10,0,868222,151502606
Beach House ,Space Song,549,0,55,0,434347,151348745
JAY,Z  Ni**as In Paris,995,0,97,0,318805,151213181
Calvin Harris ,This Is What You Came For,288,106,2,(x1),975411,149620244
Ariana Grande ,34+35,291,63,1,(x5),2698854,148864140
Don Toliver ,After Party,400,0,11,0,768932,148828688
Lizzo ,About Damn Time,243,51,3,(x1),1276164,148776441
Calvin Harris ,Slide,281,15,8,0,967282,148615807
Juice WRLD ,Righteous,333,24,2,(x6),2690579,148152203
THE SCOTTS ,THE SCOTTS,237,70,1,(x13),3345119,147793519
The Kid LAROI ,WITHOUT YOU,338,33,6,0,769614,147434939
Young Thug ,pick up the phone,552,0,29,0,455209,146950542
Zach Bryan ,Something in the Orange,251,20,4,0,992100,146934063
Justin Timberlake ,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",437,60,5,0,936011,146405505
Shawn Mendes ,Stitches,535,82,5,0,668552,146222899
Pop Smoke ,Dior,532,0,15,0,793436,145804298
Doja Cat ,Ain't Shit,356,39,4,0,1413486,145660715
Lil Tjay ,Calling My Phone,301,61,1,(x8),1860203,145633110
Charlie Puth ,Attention,346,0,16,0,797196,145299789
Lil Skies ,Nowadays,441,0,24,0,626292,144878462
Doja Cat ,You Right,386,13,4,0,1574035,144688259
Drake ,Portland,331,26,2,(x5),2385233,144664417
Bing Crosby ,White Christmas,280,17,1,(x1),2836396,144606354
Harry Styles ,Late Night Talking,219,29,2,(x10),3721821,144096811
Jay Rock ,King's Dead,292,31,7,0,1146306,144088666
Cardi B ,Up,247,76,2,(x4),1133283,143743718
Bad Bunny ,MIA,287,22,2,(x5),2409584,143656931
Hailee Steinfeld ,Let Me Go,357,0,17,0,728233,143350902
The Weeknd ,I Feel It Coming,331,21,5,0,1157486,143319177
Sia ,Cheap Thrills,371,9,9,0,822906,142986096
SZA ,Love Galore,426,0,23,0,645447,142655912
Lukas Graham ,7 Years,414,79,2,(x8),972767,142277410
Morgan Wallen ,You Proof,230,6,9,0,1723507,141716685
gnash ,"i hate u, i love u",385,0,16,0,563858,141690287
Rae Sremmurd ,Swang,393,0,21,0,680384,141632137
Nat King Cole ,The Christmas Song (Merry Christmas To You),232,12,5,0,3214273,141071360
Dean Lewis ,Be Alright,453,0,19,0,671232,141016791
Post Malone ,I Like You (A Happier Song),208,96,2,(x1),2000190,140872042
Lil Xan ,Betrayed,374,0,21,0,669421,140250610
Yot Club ,YKWIM?,504,0,58,0,351933,139804345
Kendrick Lamar ,LOYALTY. FEAT. RIHANNA.,330,14,4,0,2725761,139730182
Sam Smith ,Dancing With A Stranger,328,3,10,0,1143794,138760630
Doja Cat ,Get Into It (Yuh),391,0,16,0,751498,138640495
Migos ,MotorSport,311,11,6,0,1088075,138467640
Carolina Gaitán ,La Gaita  We Don't Talk About Bruno,201,104,1,(x55),1486869,138398595
Harry Styles ,Falling,501,3,4,0,1454982,138072456
DJ Khaled ,Wild Thoughts,231,71,1,(x1),1578440,138033504
Lil Uzi Vert ,You Was Right,501,0,26,0,490509,138001040
Kiiara ,Gold,403,0,18,0,582552,137920503
Kanye West ,Heartless,439,0,38,0,463393,137403023
Luke Combs ,Forever After All,403,7,2,(x5),2346240,137048398
Mark Ronson ,Uptown Funk,531,127,1,(x56),778194,136885294
Frank Sinatra ,Let It Snow! Let It Snow! Let It Snow!,305,8,8,0,2646892,136448853
Y2K ,Lalala,321,0,11,0,820166,136394278
Ski Mask The Slump God ,Faucet Failure,415,0,25,0,671084,136293354
Jack Ü ,Where Are Ü Now,447,118,3,(x1),564731,135999812
Flo Rida ,My House,411,64,4,0,787490,135782448
Noah Cyrus ,July,509,0,56,0,438400,135753612
Lil Tjay ,F.N,442,0,23,0,703283,135359031
DJ Khaled ,POPSTAR,317,26,1,(x2),2013630,135192435
Saweetie ,Best Friend,299,1,10,0,732662,135156338
Bad Bunny ,Efecto,236,16,9,0,1315548,134743830
The Weeknd ,Save Your Tears,327,8,2,(x1),1723905,134482363
Ariana Grande ,Side To Side,332,75,5,0,875628,134449731
Bad Bunny ,Yonaguni,347,14,3,(x2),1727530,133665412
Liam Payne ,Strip That Down,311,0,11,0,770674,133182143
The Weeknd ,Earned It (Fifty Shades Of Grey),532,103,2,(x2),612611,132827332
Drake ,Fair Trade,301,33,2,(x2),5616734,132758753
Morgan Wallen ,Sand In My Boots,460,2,4,0,1020974,132664367
Trippie Redd ,Miss The Rage,349,8,3,(x6),1699784,132399703
Bruno Mars ,24K Magic,349,13,5,0,937406,132118188
Lil Nas X ,Old Town Road,175,50,1,(x2),2450954,132031403
ZAYN ,PILLOWTALK,297,84,1,(x10),1277421,131983424
BTS ,Dynamite,332,14,3,(x3),1824254,131917493
Kygo ,It Ain't Me,272,28,3,(x3),1169170,130487216
DaBaby ,VIBEZ,285,2,4,0,1371845,129872425
Russ ,Losin Control,512,0,58,0,379457,129835284
Portugal. The Man ,Feel It Still,331,0,13,0,756792,129571919
NEIKED ,Better Days (NEIKED x Mae Muller x Polo G),321,20,6,0,883029,129400161
Shawn Mendes ,Treat You Better,321,1,10,0,740821,129275991
Bad Bunny ,Moscow Mule,219,11,1,(x1),2582359,128972121
Cardi B ,Money,273,1,9,0,1148815,128812752
Morgan Wallen ,7 Summers,388,7,3,(x2),2269891,128247607
José Feliciano ,Feliz Navidad,222,11,6,0,3233033,128148147
Travis Scott ,YOSEMITE,320,4,7,0,2092634,127780533
Famous Dex ,JAPAN,299,0,11,0,1019372,127676006
Farruko ,Pepas,337,0,16,0,696956,127483860
Justin Bieber ,Mistletoe,295,0,13,0,1898014,127188550
THE ANXIETY ,Meet Me At Our Spot,281,21,8,0,852099,126861687
Polo G ,21,425,0,35,0,462532,126417091
Vance Joy ,Riptide,753,0,12,0,273070,126349492
DJ Snake ,Taki Taki,238,27,4,0,1308756,126096694
Grouplove ,Tongue Tied,525,0,100,0,284533,125880696
Diplo ,Heartless,444,0,53,0,436704,125811158
StaySolidRocky ,Party Girl,239,53,2,(x21),1169465,125662367
Taylor Swift ,AntiHero,69,46,1,(x14),7786096,124825787
Quality Control ,Baby (Lil Baby feat. DaBaby),308,0,14,0,779096,124162581
Billie Eilish ,idontwannabeyouanymore,400,0,40,0,516523,123991487
Queen ,Bohemian Rhapsody  Remastered 2011,420,0,36,0,537813,123761624
NLE Choppa ,Camelot,297,4,7,0,932296,123589568
Luke Combs ,When It Rains It Pours,565,0,84,0,306131,123431139
Flume ,Never Be Like You,357,0,14,0,604526,123343026
J Balvin ,LA CANCIÓN,443,0,30,0,626782,123298668
Lil Baby ,Woah,269,0,11,0,1046993,122876453
OneRepublic ,I Ain't Worried,206,36,6,0,847839,122488638
Playboi Carti ,Shoota,420,0,23,0,826235,122469617
2 Chainz ,It's A Vibe,403,0,35,0,543374,122067552
Doja Cat ,Vegas (From the Original Motion Picture Soundtrack ELVIS),234,29,7,0,922178,121176458
Juice WRLD ,Legends,418,2,4,0,1239344,121077739
Rae Sremmurd ,Powerglide,263,0,15,0,940053,120839941
XXXTENTACION ,Revenge,412,0,16,0,1119765,120698497
Ariana Grande ,God is a woman,227,26,4,0,1528413,120468984
Chris Brown ,Go Crazy,345,0,19,0,611457,120431219
Martin Garrix ,In the Name of Love,304,0,11,0,720257,120205635
Sam Smith ,Unholy,98,58,1,(x28),2488457,120201022
Pop Smoke ,Mood Swings,306,6,9,0,846397,119371547
The Chainsmokers ,Paris,224,45,3,(x1),1275674,119358756
Lil Skies ,Red Roses,365,0,36,0,532229,119331204
